municipio,subzona,altura_maxima_m,retranqueo_min_m,setback_front_m,setback_side_m,setback_back_m,front_direction_default,ocupacion_max,edificabilidad_max_m2_m2
Vigo,,1.5,,,,,,,
Vigo,,3.5,,,,,,,0.7
Vigo,,3.5,,,,,,,
Vigo,,3.5,,,,,,,
Vigo,,3.5,,,,,,,
Vigo,,18.0,,,,,,,0.8
Vigo,,25.0,,,,,,,
Vigo,,3.5,,,,,,,
